normalized_description,Existencias,coverage_days,low_stock_flag,stock_rotation
leone softshell jacket black m,1,0.2,1,
utili-t 3pk s/s t black 2xl,6,1.2,1,
utili-t 3pk s/s t black 2xl 1pk,1,0.2,1,
utili-t 3pk s/s t black l,4,0.8,1,
utili-t 3pk s/s t black l 1pk,2,0.4,1,
utili-t 3pk s/s t black m,7,1.4,1,
utili-t 3pk s/s t black m 1pk,1,0.2,1,
utili-t 3pk s/s t black s,6,1.2,1,
utili-t 3pk s/s t black s 1pk,0,0.0,1,
utili-t 3pk s/s t black xl,8,1.6,1,
utili-t 3pk s/s t black xl 1pk,1,0.2,1,
utili-t 3pk s/s t dark navy l,5,1.0,1,
utili-t 3pk s/s t dark navy m,4,0.8,1,
utili-t 3pk s/s t dark navy s,2,0.4,1,
utili-t 3pk s/s t dark navy xl,3,0.6,1,
utili-t 3pk s/s t white l,1,0.2,1,
utili-t 3pk s/s t white m,4,0.8,1,
utili-t 3pk s/s t white s,2,0.4,1,
utili-t 3pk s/s t white xl,5,1.0,1,
"6"" sport boxer brief storm s",1,0.2,1,
perf utili-t 2pack s/s dark navy 3xl,0,0.0,1,
perf utili-t 2pack s/s dark navy m,0,0.0,1,
perf utili-t 2pack l/s black l,1,0.2,1,
perf utili-t 2pack l/s dark navy m,1,0.2,1,
tropos baselayer l/s top black l,1,0.2,1,
tropos baselayer tight black m,1,0.2,1,
tropos baselayer tight black s,1,0.2,1,
"performance brief 6"" 2.0 black l",1,0.2,1,
utility pt shirt dark navy m,1,0.2,1,
s/s rapid performnce polo fire med blu s,1,0.2,1,
utility s/s polo academy blue 2xl,0,0.0,1,
utility s/s polo academy blue l,0,0.0,1,
utility s/s polo academy blue m,0,0.0,1,
utility s/s polo academy blue s,0,0.0,1,
utility s/s polo academy blue xl,0,0.0,1,
utility s/s polo black l,6,1.2,1,
utility s/s polo black s,0,0.0,1,
utility s/s polo dark navy 2xl,0,0.0,1,
utility s/s polo dark navy l,4,0.8,1,
utility s/s polo dark navy s,2,0.4,1,
utility s/s polo dark navy xl,0,0.0,1,
utility s/s polo heather grey l,0,0.0,1,
s/s helios polo charcoal 2xl,0,0.0,1,
s/s helios polo charcoal 3xl,0,0.0,1,
s/s helios polo charcoal l,0,0.0,1,
s/s helios polo charcoal m,0,0.0,1,
s/s helios polo charcoal s,0,0.0,1,
s/s helios polo charcoal xl,0,0.0,1,
calacuerno tee black l,2,0.4,1,
calacuerno tee black m,0,0.0,1,
calacuerno tee black s,1,0.2,1,
v.xi sigurd s/s shirt ranger green m r,0,0.0,1,
professional l/s polo dark navy l,0,0.0,1,
recon vandal short nautical 38,1,0.2,1,
siege x usb - sl-b26 battery pack & usb,3,0.6,1,
bike patrol pant black 30 30,0,0.0,1,
bike patrol pant dark navy 28 36,0,0.0,1,
bike patrol pant dark navy 30 32,0,0.0,1,
bike patrol pant dark navy 34 32,0,0.0,1,
bike patrol pant dark navy 36 32,0,0.0,1,
bike patrol pant dark navy 40 32,0,0.0,1,
response jacket dark navy 2xl,19,3.8,1,
response jacket dark navy l,54,10.8,1,
response jacket dark navy m,41,8.2,1,
response jacket dark navy s,35,7.0,1,
response jacket dark navy xl,37,7.4,1,
big horn jacket black 2xl,1,0.2,1,
big horn jacket black l,1,0.2,1,
big horn jacket black m,2,0.4,1,
big horn jacket black s,0,0.0,1,
big horn jacket black xl,1,0.2,1,
big horn jacket dark navy 2xl,0,0.0,1,
big horn jacket dark navy 3xl,0,0.0,1,
big horn jacket dark navy 4xl,0,0.0,1,
big horn jacket dark navy l,0,0.0,1,
big horn jacket dark navy m,2,0.4,1,
big horn jacket dark navy s,1,0.2,1,
big horn jacket dark navy xl,0,0.0,1,
big horn jacket dark navy xs,0,0.0,1,
3-in-1 rev high-vis parka high vis ylw l,0,0.0,1,
3-in-1 rev high-vis parka high vis ylw m,1,0.2,1,
3-in-1 rev high-vis parka high vis ylw s,0,0.0,1,
packable jacket black l,1,0.2,1,
packable jacket black m,2,0.4,1,
packable jacket black xl,0,0.0,1,
packable jacket black xs,13,2.6,1,
packable jacket dark navy l,1,0.2,1,
packable jacket dark navy xl,3,0.6,1,
packable jacket sheriff grn l,1,0.2,1,
packable jacket sheriff grn m,5,1.0,1,
packable jacket sheriff grn s,3,0.6,1,
packable jacket black s,0,0.0,1,
double duty jacket dark navy s,2,0.4,1,
chameleon soft shell jkt moss l,1,0.2,1,
torrent jacket grey s,1,0.2,1,
5.11 valiant duty jacket dark navy m,0,0.0,1,
packable operator jacket black m,1,0.2,1,
packable operator jacket black s,0,0.0,1,
packable operator jacket black xl,2,0.4,1,
packable operator jacket dark navy xl,1,0.2,1,
packable operator jacket sheriff grn l,6,1.2,1,
packable operator jacket sheriff grn m,3,0.6,1,
packable operator jacket sheriff grn s,5,1.0,1,
packable operator jacket sheriff grn xl,3,0.6,1,
duty rain shell black l,1,0.2,1,
duty rain shell black m,0,0.0,1,
duty rain shell black s,0,0.0,1,
duty rain shell dark navy l,0,0.0,1,
duty rain shell dark navy s,0,0.0,1,
duty rain shell ranger green m,0,0.0,1,
3-in-1 parka 2.0 black l,0,0.0,1,
3-in-1 parka 2.0 black m,2,0.4,1,
5-in-1 jacket 2.0 black xl r,0,0.0,1,
5-in-1 jacket 2.0 dark navy 2xl r,0,0.0,1,
5-in-1 jacket 2.0 dark navy 3xl r,0,0.0,1,
5-in-1 jacket 2.0 dark navy l r,2,0.4,1,
5-in-1 jacket 2.0 dark navy m r,2,0.4,1,
5-in-1 jacket 2.0 dark navy s r,0,0.0,1,
5-in-1 jacket 2.0 dark navy xs r,0,0.0,1,
5-in-1 jacket 2.0 dark navy xl r,0,0.0,1,
chameleon softshell 2.0 black m,1,0.2,1,
chameleon softshell 2.0 black s,0,0.0,1,
chameleon softshell 2.0 dark navy m,0,0.0,1,
chameleon softshell 2.0 dark navy s,0,0.0,1,
chameleon softshell 2.0 ranger green l,0,0.0,1,
chameleon softshell 2.0 ranger green m,0,0.0,1,
chameleon softshell 2.0 ranger green s,0,0.0,1,
duty softshell jacket black m r,0,0.0,1,
exo.k external knee pad black 1 sz,1,0.2,1,
exo.k external knee pad kangaroo 1 sz,0,0.0,1,
exo.e external elbow pad black 1 sz,3,0.6,1,
knee protector black 10b,0,0.0,1,
gt to the choppa keychain brown 1 sz,7,1.4,1,
no fks given keychain green 1 sz,1,0.2,1,
life isn't prfct keychain brown 1 sz,0,0.0,1,
send it keychain blue 1 sz,4,0.8,1,
legacy loop keychain od green 1 sz,0,0.0,1,
hydration bottle 32 oz cinder 1 sz,6,1.2,1,
hydration bottle 32 oz pecan eagle knife,5,1.0,1,
hydration bottle 32 oz volcanic/pbg babg,1,0.2,1,
hydration bottle 32 oz wthrd orange 1 sz,0,0.0,1,
ferro knife multi 1 sz,5,1.0,1,
heron knife black 1 sz,7,1.4,1,
