normalized_description,total_units_sold,total_income,total_cost,total_margin,avg_ticket_price,sale_frequency_days
single pistol case ranger green 1 sz,2,1637.94,844.2492,793.6908000000001,818.97,0
ski team l/s tee white m,2,1551.72,714.2344,837.4856,775.86,0
skyweight srvl chest pk volcanic 1sz,4,4103.44,2213.941904,1889.4980959999998,1025.86,1
skyweight util chest pk sage green 1sz,2,2741.36,1531.901232,1209.4587680000002,1370.68,0
skyweight util chest pk volcanic 1sz,2,2741.38,1536.763336,1204.6166640000001,1370.69,0
skyweightâ  srvl chest pk major brown 1sz,4,4103.44,2297.912676,1805.5273239999997,1025.86,1
slidelock 360 magnetic locking dual cara,8,1786.24,980.870736,805.369264,223.28,2
slidelock carabiner stainless steel 4 bl,4,289.64,159.987768,129.652232,72.41,0
slidelock carabiner stainless steelsize,6,382.74,209.415546,173.324454,63.79,1
slidelock key ring stainless steel black,10,793.1,435.82644000000005,357.27356,79.31,1
slidelock key ring stainless steel stain,4,317.24,174.336252,142.903748,79.31,1
specialty hi-dexterity 0.5 coyote m,2,1534.48,813.498798,720.981202,767.24,1
specialty hi-dexterity 0.5 negro l,4,3068.96,1581.109308,1487.850692,767.24,1
specialty hi-dexterity 0.5 negro m,2,1241.36,790.554654,450.8053459999999,620.68,0
specialty ven coyote m,4,3068.96,1642.32,1426.64,767.24,1
specialty ven negro xl,2,1534.48,798.183972,736.296028,767.24,0
speed 4.0 8 ar670-1,5,10732.95,9025.5198,1707.4302000000007,2146.59,0
speed 4.0 8 ar670-1 dark coyote 10 r,10,22776.160000000003,16855.46559,5920.694410000001,2583.3433333333332,1
speed 4.0 8 ar670-1 dark coyote 8 r,2,5603.44,2631.327852,2972.1121479999997,2801.72,0
speed 4.0 8 ar670-1 dark coyote 8.5 r,11,23612.49,19477.527047,4134.962953000002,2146.59,0
speed 4.0 8 ar670-1 dark coyote 9 r,9,19319.31,15304.454522999999,4014.855477000003,2146.59,0
speed 4.0 8 ar670-1 dark coyote 9.5 r,2,4293.18,3284.53893,1008.6410700000001,2146.59,0
speed 4.0 8 ar670-1 us dk coyote 5 r,1,2146.59,1713.068858,433.52114200000005,2146.59,0
speed 4.0 8 ar670-1 us dk coyote 7 r,7,15026.130000000001,12274.392655,2751.7373450000014,2146.59,0
speed 4.0 8 ar670-1 us dk coyote 7.5 r,7,15026.130000000001,11608.018226,3418.111774000001,2146.59,0
speed 4.0 8 arid coyote 6-r,10,21152.7,15941.169279999998,5211.5307200000025,2115.27,0
station grip 2 glove black l,4,2758.6,1319.274536,1439.325464,689.65,0
steel jacket mltl 2.0 blk stn wsh 1sz,2,1068.96,506.62252,562.33748,534.48,0
steel jacket money clip blk stn wsh 1sz,4,1482.76,696.64142,786.11858,370.69,1
steelie squeeze vent kit,4,2100.0,1154.600824,945.3991759999999,525.0,1
stingerhawk basic kits large black smoke,2,2775.86,2691.391182,84.46881800000028,1387.93,1
stratos hood black 1 sz,8,6896.48,4649.336832,2247.1431679999996,862.06,0
stratos hood ranger green 1 sz,4,3448.24,2324.622108,1123.6178919999998,862.06,1
stryke pant w/flex-tac tm bat brn 32 32,2,4553.44,1904.38859,2649.0514099999996,2276.72,0
stryke pant w/flex-tac tm bat brn 34 32,2,3879.3,1989.161962,1890.1380380000003,1939.65,1
stryke pant w/flex-tac tm battle brown 3,6,13660.319999999998,7279.221044000001,6381.098955999999,2276.72,0
stryke pant w/flex-tac tm black 30 30,2,3879.3,1850.088572,2029.211428,1939.65,0
stryke pant w/flex-tac tm black 30 32,2,3879.3,1893.41525,1985.8847500000002,1939.65,0
