normalized_description,total_units_sold,total_income,total_cost,total_margin,avg_ticket_price,sale_frequency_days,cantidad_total_importada,costo_unitario_promedio_import,gastos_logisticos_promedio,tiempo_promedio_entrega,ultima_fecha_importacion,Existencias,coverage_days,low_stock_flag,stock_rotation,demanda_diaria_estimada,cantidad_a_importar,dias_hasta_proxima_importacion
5.11 a/t trainer black 10 r,1,1.0,1681.222617,-1680.222617,1.0,0,,,,17.783699750459917,2024-12-01,1.0,0.2,1.0,,0.011111111111111112,0.19759666389399907,212
5.11 a/t trainer black 7.5 r,1,1.0,1506.471381,-1505.471381,1.0,0,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.011111111111111112,0.19759666389399907,212
5.11 a/t trainer black 7.5 r,1,1.0,1506.471381,-1505.471381,1.0,0,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.011111111111111112,0.19759666389399907,212
5.11 boonie hat black l/xl,2,1465.52,947.21326,518.30674,732.76,1,,,,17.783699750459917,2024-12-01,3.0,0.6,1.0,,0.022222222222222223,0.39519332778799815,212
5.11 boonie hat multi blk multi l/xl,2,1706.88,1180.82439,526.0556100000001,853.44,1,,,,17.783699750459917,2024-12-01,3.0,0.6,1.0,,0.022222222222222223,0.39519332778799815,212
5.11 boonie hat multicam blk multicam s/,2,1706.9,1180.82439,526.0756100000001,853.45,0,,,,17.783699750459917,2024-12-01,3.0,0.6,1.0,,0.022222222222222223,0.39519332778799815,212
5.11 boonie hat tdu khaki s/m,6,5586.18,3068.801808,2517.378192,931.03,1,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.06666666666666667,1.1855799833639944,212
5.11 boonie hat tdu khaki s/m,6,5586.18,3068.801808,2517.378192,931.03,1,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.06666666666666667,1.1855799833639944,212
5.11 hooded ls tee l,2,1810.34,846.361484,963.978516,905.17,0,,,,17.783699750459917,2024-12-01,,,,,0.022222222222222223,0.39519332778799815,212
5.11 safe 3.4 n bdge wlet black 1 sz,2,2568.96,1457.437478,1111.522522,1284.48,0,,,,17.783699750459917,2024-12-01,10.0,2.0,1.0,,0.022222222222222223,0.39519332778799815,212
