normalized_description,pred_cantidad,pred_dias
calacuerno tee black s,0.39640823,212.00006
calcetin bota combate ts azul 10-12,6.7184525,212.00006
calcetin bota combate ts azul 10-12,6.7184525,212.00006
calcetin bota combate ts azul 8-10,10.6973095,212.00006
calcetin bota combate ts azul 9-11,5.1515007,212.00006
calcetin bota combate ts azul 9-11,5.1515007,212.00006
calcetin bota combate ts beige 8-10,5.5393963,212.00006
calcetin bota combate ts negro 10-12,7.5110836,212.00006
calcetin bota combate ts negro 10-12,7.5110836,212.00006
calcetin bota combate ts negro 8-10,20.186724,212.00006
calcetin bota combate ts negro 9-11,10.451771,212.00006
calcetin bota combate ts negro 9-11,10.451771,212.00006
calcetin bota de combate beige 10-12,7.1199274,212.00006
calcetin bota de combate beige 9-11,2.7651675,212.00006
calcetin deporte talonera bs blan 9-11,1.5784949,212.00006
calcetin deporte talonera bs gris 9-11,3.158348,212.00006
calcetin deporte talonera bs negro 10-12,3.9804983,212.00006
calcetin deporte talonera bs negro 9-11,1.5784949,212.00006
camo crest s/s tee black l,0.39640823,212.00006
camo crest s/s tee black m,0.78996116,212.00006
camp field axe s/s tee black l,1.1847556,212.00006
camp field axe s/s tee black m,0.78996116,212.00006
camp field axe s/s tee black m,0.78996116,212.00006
camp field axe s/s tee black s,0.39640823,212.00006
cancer zodiac patch red 1 sz,0.39640823,212.00006
cancer zodiac patch red 1sz,0.78996116,212.00006
woodland camo fill hoodie black xl,0.39640823,212.00006
celtic dog patch brown 1sz,1.1847556,212.00006
cfk 4 kangaroo 1 sz,0.78996116,212.00006
cfk 7 peacemaker kangaroo 1 sz,0.39640823,212.00006
chameleon softshell 2.0 black l,0.39640823,212.00006
chameleon softshell 2.0 black m,1.1847556,212.00006
chameleon softshell 2.0 black m,1.1847556,212.00006
chameleon softshell 2.0 black s,0.78996116,212.00006
chameleon softshell 2.0 black s,0.78996116,212.00006
chameleon softshell 2.0 black s,0.78996116,212.00006
chameleon softshell 2.0 black s,0.78996116,212.00006
chameleon softshell 2.0 black xl,0.39640823,212.00006
chameleon softshell 2.0 dark navy l,0.39640823,212.00006
chameleon softshell 2.0 ranger green l,0.39640823,212.00006
chameleon softshell 2.0 ranger green l,0.39640823,212.00006
chameleon softshell 2.0 ranger green m,0.78996116,212.00006
chameleon softshell 2.0 ranger green m,0.78996116,212.00006
chameleon softshell 2.0 ranger green s,0.39640823,212.00006
chameleon softshell 2.0 ranger green s,0.39640823,212.00006
charge mpls black,0.39640823,212.00006
cinco once s/s tee heather grey m,0.39640823,212.00006
close only counts patch,0.39640823,212.00006
club ruck s/s tee black l,1.1847556,212.00006
club ruck s/s tee black m,0.39640823,212.00006
club ruck s/s tee black xl,0.39640823,212.00006
club ruck s/s tee black xl,0.39640823,212.00006
