"Id Referencia ","Descripcion producto","Marca  ","Línea ","Existencias ","Costo promedio "
"12431-019-10-R","5.11 A/T 8 SZ BLACK 10 R","5.11","CALZA","2","1903.9"
"12431-019-12-R","5.11 A/T 8 SZ BLACK 12 R","5.11","CALZA","1","1903.9"
"12431-019-6-R","5.11 A/T 8 SZ BLACK 6 R","5.11","CALZA","1","3000.0"
"12431-019-7.5-R","5.11 A/T 8 SZ BLACK 7.5 R","5.11","CALZA","1","1903.9"
"12431-019-8-R","5.11 A/T 8 SZ BLACK 8 R","5.11","CALZA","3","1903.9"
"12431-019-9-R","5.11 A/T 8 SZ BLACK 9 R","5.11","CALZA","1","1903.9"
"12431-019-9.5-R","5.11 A/T 8 SZ BLACK 9.5 R","5.11","CALZA","3","1903.9"
"12431-019-10.5-R","5.11 A/T 8 SZ BLACK 10.5 R","5.11","CALZA","1","2294.1"
"12439-019-10-R","5.11 A/T 6 SZ  BLACK 10 R","5.11","CALZA","1","1915.4"
"12439-019-10.5-R","5.11 A/T 6 SZ  BLACK 10.5 R","5.11","CALZA","2","1794.0"
"12439-019-11-R","5.11 A/T 6 SZ  BLACK 11 R","5.11","CALZA","1","1913.6"
"12439-019-6-R","5.11 A/T 6 SZ  BLACK 6 R","5.11","CALZA","0","1114.5"
"12439-019-7-R","5.11 A/T 6 SZ  BLACK 7 R","5.11","CALZA","2","1794.0"
"12439-019-7.5-R","5.11 A/T 6 SZ  BLACK 7.5 R","5.11","CALZA","3","1794.0"
"12439-019-8-R","5.11 A/T 6 SZ  BLACK 8 R","5.11","CALZA","2","1794.0"
"12439-019-9-R","5.11 A/T 6 SZ  BLACK 9 R","5.11","CALZA","2","1915.7"
"12439-019-9.5-R","5.11 A/T 6 SZ  BLACK 9.5 R","5.11","CALZA","5","1794.0"
"12440-106-10-R","5.11 A/T 6 DARK COYOTE 10 R","5.11","CALZA","4","2166.4"
"12440-106-10.5-R","5.11 A/T 6 DARK COYOTE 10.5 R","5.11","CALZA","0","1907.6"
"12440-106-11-R","5.11 A/T 6 DARK COYOTE 11 R","5.11","CALZA","2","2183.8"
"12440-106-6-R","5.11 A/T 6 DARK COYOTE 6 R","5.11","CALZA","2","1879.7"
"12440-106-6.5-R","5.11 A/T 6 DARK COYOTE 6.5 R","5.11","CALZA","2","1854.5"
"12440-106-7-R","5.11 A/T 6 DARK COYOTE 7 R","5.11","CALZA","3","2071.5"
"12440-106-7.5-R","5.11 A/T 6 DARK COYOTE 7.5 R","5.11","CALZA","2","1812.4"
"12440-106-8-R","5.11 A/T 6 DARK COYOTE 8 R","5.11","CALZA","7","2206.9"
"12440-106-9-R","5.11 A/T 6 DARK COYOTE 9 R","5.11","CALZA","5","2183.8"
"12440-106-9.5-R","5.11 A/T 6 DARK COYOTE 9.5 R","5.11","CALZA","1","2033.1"
"12448-019-10.5-R","5.11 EVO 2.0 8 WP SZ","5.11","CALZA","0","3802.5"
"12454-019-10.5-R","SPEED 4.0 8"" SZ","5.11","CALZA","0","1312.8"
"12454-019-6.5-R","SPEED 4.0 8"" SZ","5.11","CALZA","2","1318.1"
"12454-019-9-R","SPEED 4.0 8"" SZ","5.11","CALZA","0","1474.7"
"12454-019-9.5-R","SPEED 4.0 8"" SZ","5.11","CALZA","0","1343.1"
"12454-019-8.5-R","SPEED 4.0 8"" SZ BLACK 8.5 R","5.11","CALZA","0","1336.4"
"12457-019-9-R","RANGER 2.0 BLACK 9 R","5.11","CALZA","0","2610.0"
"12459-389-10-R","SPEED 4.0 8 AR670-1 DARK COYOTE 10 R","5.11","CALZA","3","1519.2"
"12459-389-8.5-R","SPEED 4.0 8 AR670-1 DARK COYOTE 8.5 R","5.11","CALZA","1","1392.0"
"12459-389-9-R","SPEED 4.0 8 AR670-1 DARK COYOTE 9 R","5.11","CALZA","6","1582.8"
"12459-389-9.5-R","SPEED 4.0 8 AR670-1 DARK COYOTE 9.5 R","5.11","CALZA","3","1533.7"
"12459-389-10.5-R","SPEED 4.0 8 AR670-1 US DK COYOTE 10.5 R","5.11","CALZA","4","1587.0"
"12459-389-11-R","SPEED 4.0 8 AR670-1 US DK COYOTE 11 R","5.11","CALZA","1","1315.7"
"12459-389-11.5-R","SPEED 4.0 8 AR670-1 US DK COYOTE 11.5 R","5.11","CALZA","2","1315.7"
"12459-389-12-R","SPEED 4.0 8 AR670-1 US DK COYOTE 12 R","5.11","CALZA","1","1315.7"
"12459-389-5-R","SPEED 4.0 8 AR670-1 US DK COYOTE 5 R","5.11","CALZA","1","1621.0"
"12459-389-6-R","SPEED 4.0 8 AR670-1 US DK COYOTE 6 R","5.11","CALZA","2","1621.0"
"12459-389-6.5-R","SPEED 4.0 8 AR670-1 US DK COYOTE 6.5 R","5.11","CALZA","2","1315.7"
"12459-389-7-R","SPEED 4.0 8 AR670-1 US DK COYOTE 7 R","5.11","CALZA","1","1392.0"
"12459-389-7.5-R","SPEED 4.0 8 AR670-1 US DK COYOTE 7.5 R","5.11","CALZA","3","1315.7"
"12464-120-10-R","SPEED 4.0 8"" ARID COYOTE 10 R","5.11","CALZA","0","1310.5"
"12464-120-11-R","SPEED 4.0 8"" ARID COYOTE 11 R","5.11","CALZA","0","1306.9"
"12464-120-13-R","SPEED 4.0 8"" ARID COYOTE 13 R","5.11","CALZA","0","2252.5"
"12464-120-5-R","SPEED 4.0 8"" ARID COYOTE 5 R","5.11","CALZA","0","1375.3"
"12464-120-6-R","SPEED 4.0 8"" ARID COYOTE 6 R","5.11","CALZA","0","1347.9"
"12464-120-7-R","SPEED 4.0 8"" ARID COYOTE 7 R","5.11","CALZA","0","1586.8"
"12464-120-7.5-R","SPEED 4.0 8"" ARID COYOTE 7.5 R","5.11","CALZA","0","1504.7"
"12464-120-8-R","SPEED 4.0 8"" ARID COYOTE 8 R","5.11","CALZA","0","1388.4"
"12464-120-9-R","SPEED 4.0 8"" ARID COYOTE 9 R","5.11","CALZA","0","1309.0"
"12464-120-9.5-R","SPEED 4.0 8"" ARID COYOTE 9.5 R","5.11","CALZA","0","1320.6"
"12464-120-8.5-R","SPEED 4.0 8 ARID COYOTE 8.5 R","5.11","CALZA","0","2523.0"
"12471-007-8-R","A/T TRAINER 2.0 TRIPLE BLACK 8 R","5.11","CALZA","0","2517.2"
"14307-03-09","Sidewinder Stalk - Includes Helmet Clip","STREAMLIGHT","LINTE","5","2488.2"
"CHS-900R","CHALECO BRIGADISTA CINTA REFLEJANTE ROJO","TRUPER","CHALE","0","231.9"
"FS00016583","CAMISA MANGA LARGA BLANCA 15 1/2 2-3","SONNETI","CAMIS","0","430.2"
"22102","BATTERY, SL-B26 USB 2","STREAMLIGHT","LINTE","11","370.6"
